Alignment_name	Locus_type
SISRS_contig-13863000011.fasta	unannotated
SISRS_contig-6568000008.fasta	unannotated
SISRS_contig-8897000012.fasta	unannotated
SISRS_contig-17583000014.fasta	unannotated
SISRS_contig-14677000013.fasta	unannotated
SISRS_contig-2192000016.fasta	unannotated
SISRS_contig-13900000000.fasta	unannotated
SISRS_contig-7427000004.fasta	unannotated
SISRS_contig-3703000012.fasta	unannotated
SISRS_contig-8676000011.fasta	unannotated
SISRS_contig-853000019.fasta	unannotated
SISRS_contig-181000012.fasta	unannotated
SISRS_contig-2967000015.fasta	unannotated
SISRS_contig-5756000012.fasta	unannotated
SISRS_contig-12483000015.fasta	unannotated
SISRS_contig-1245000006.fasta	unannotated
SISRS_contig-2940000000.fasta	unannotated
SISRS_contig-3729000009.fasta	unannotated
SISRS_contig-4522000003.fasta	unannotated
SISRS_contig-10092000018.fasta	unannotated
SISRS_contig-6380000014.fasta	unannotated
SISRS_contig-290000016.fasta	unannotated
SISRS_contig-17142000018.fasta	unannotated
SISRS_contig-16330000008.fasta	unannotated
SISRS_contig-17701000012.fasta	unannotated
SISRS_contig-9005000010.fasta	unannotated
SISRS_contig-1076000019.fasta	unannotated
SISRS_contig-144000017.fasta	unannotated
SISRS_contig-705000004.fasta	unannotated
SISRS_contig-11928000017.fasta	unannotated
SISRS_contig-8312000011.fasta	unannotated
SISRS_contig-3470000017.fasta	unannotated
SISRS_contig-16466000017.fasta	unannotated
SISRS_contig-2794000001.fasta	unannotated
SISRS_contig-550000013.fasta	unannotated
SISRS_contig-15692000019.fasta	unannotated
SISRS_contig-11502000003.fasta	unannotated
SISRS_contig-8088000009.fasta	unannotated
SISRS_contig-15902000007.fasta	unannotated
SISRS_contig-15959000004.fasta	unannotated
SISRS_contig-13984000014.fasta	unannotated
SISRS_contig-5427000008.fasta	unannotated
SISRS_contig-10389000013.fasta	unannotated
SISRS_contig-11316000018.fasta	unannotated
SISRS_contig-11388000006.fasta	unannotated
SISRS_contig-12861000012.fasta	unannotated
SISRS_contig-10359000015.fasta	unannotated
SISRS_contig-4083000001.fasta	unannotated
SISRS_contig-11479000010.fasta	unannotated
SISRS_contig-4488000011.fasta	unannotated
SISRS_contig-11259000010.fasta	unannotated
SISRS_contig-14375000006.fasta	unannotated
SISRS_contig-8942000017.fasta	unannotated
SISRS_contig-849000004.fasta	unannotated
SISRS_contig-58000005.fasta	unannotated
SISRS_contig-1560000016.fasta	unannotated
SISRS_contig-882000006.fasta	unannotated
SISRS_contig-12846000005.fasta	unannotated
SISRS_contig-10681000008.fasta	unannotated
SISRS_contig-15053000019.fasta	unannotated
SISRS_contig-3448000005.fasta	unannotated
SISRS_contig-13619000014.fasta	unannotated
SISRS_contig-3990000009.fasta	unannotated
SISRS_contig-587000001.fasta	unannotated
SISRS_contig-11789000011.fasta	unannotated
SISRS_contig-13333000019.fasta	unannotated
SISRS_contig-8391000019.fasta	unannotated
SISRS_contig-8217000012.fasta	unannotated
SISRS_contig-14805000006.fasta	unannotated
SISRS_contig-7653000019.fasta	unannotated
SISRS_contig-2638000002.fasta	unannotated
SISRS_contig-12173000000.fasta	unannotated
SISRS_contig-12006000014.fasta	unannotated
SISRS_contig-3441000002.fasta	unannotated
SISRS_contig-4559000008.fasta	unannotated
SISRS_contig-10273000006.fasta	unannotated
SISRS_contig-9400000018.fasta	unannotated
SISRS_contig-14295000002.fasta	unannotated
SISRS_contig-8545000009.fasta	unannotated
SISRS_contig-12421000012.fasta	unannotated
SISRS_contig-12841000002.fasta	unannotated
SISRS_contig-6229000018.fasta	unannotated
SISRS_contig-3076000003.fasta	unannotated
SISRS_contig-4495000011.fasta	unannotated
SISRS_contig-13414000011.fasta	unannotated
SISRS_contig-5942000002.fasta	unannotated
SISRS_contig-589000011.fasta	unannotated
SISRS_contig-8255000002.fasta	unannotated
SISRS_contig-14573000014.fasta	unannotated
SISRS_contig-2604000003.fasta	unannotated
SISRS_contig-8097000001.fasta	unannotated
SISRS_contig-4506000000.fasta	unannotated
SISRS_contig-11082000001.fasta	unannotated
SISRS_contig-3000000011.fasta	unannotated
SISRS_contig-17075000017.fasta	unannotated
SISRS_contig-7835000018.fasta	unannotated
SISRS_contig-2012000013.fasta	unannotated
SISRS_contig-17645000014.fasta	unannotated
SISRS_contig-6051000008.fasta	unannotated
SISRS_contig-11621000009.fasta	unannotated
SISRS_contig-13694000015.fasta	unannotated
SISRS_contig-7885000009.fasta	unannotated
SISRS_contig-16158000012.fasta	unannotated
SISRS_contig-13437000019.fasta	unannotated
SISRS_contig-12649000003.fasta	unannotated
SISRS_contig-17147000003.fasta	unannotated
SISRS_contig-5445000017.fasta	unannotated
SISRS_contig-1909000019.fasta	unannotated
SISRS_contig-14547000004.fasta	unannotated
SISRS_contig-13897000003.fasta	unannotated
SISRS_contig-13693000015.fasta	unannotated
SISRS_contig-1057000019.fasta	unannotated
SISRS_contig-2883000008.fasta	unannotated
SISRS_contig-14273000001.fasta	unannotated
SISRS_contig-16282000005.fasta	unannotated
SISRS_contig-1242000012.fasta	unannotated
SISRS_contig-3436000007.fasta	unannotated
SISRS_contig-6128000001.fasta	unannotated
SISRS_contig-14900000019.fasta	unannotated
SISRS_contig-480000001.fasta	unannotated
SISRS_contig-10415000006.fasta	unannotated
SISRS_contig-3461000012.fasta	unannotated
SISRS_contig-14831000005.fasta	unannotated
SISRS_contig-4685000018.fasta	unannotated
SISRS_contig-16359000008.fasta	unannotated
SISRS_contig-9152000019.fasta	unannotated
SISRS_contig-13683000006.fasta	unannotated
SISRS_contig-12003000009.fasta	unannotated
SISRS_contig-8218000000.fasta	unannotated
SISRS_contig-5386000005.fasta	unannotated
SISRS_contig-129000003.fasta	unannotated
SISRS_contig-16786000002.fasta	unannotated
SISRS_contig-9339000004.fasta	unannotated
SISRS_contig-475000005.fasta	unannotated
SISRS_contig-1563000018.fasta	unannotated
SISRS_contig-4637000017.fasta	unannotated
SISRS_contig-7956000003.fasta	unannotated
