Alignment_name	Locus_type
SISRS_contig-9562000000.fasta	UTR
SISRS_contig-2864000012.fasta	UTR
SISRS_contig-6253000010.fasta	UTR
SISRS_contig-10245000013.fasta	UTR
SISRS_contig-10385000017.fasta	UTR
SISRS_contig-2868000010.fasta	UTR
SISRS_contig-15332000017.fasta	UTR
SISRS_contig-16031000002.fasta	UTR
SISRS_contig-148000009.fasta	UTR
SISRS_contig-73000009.fasta	UTR
SISRS_contig-1628000006.fasta	UTR
SISRS_contig-15208000014.fasta	UTR
SISRS_contig-47000010.fasta	UTR
SISRS_contig-10274000011.fasta	UTR
SISRS_contig-1603000005.fasta	UTR
SISRS_contig-48000015.fasta	UTR
SISRS_contig-17984000002.fasta	UTR
SISRS_contig-2033000008.fasta	UTR
SISRS_contig-7730000015.fasta	UTR
SISRS_contig-3102000018.fasta	UTR
SISRS_contig-11594000006.fasta	UTR
SISRS_contig-729000012.fasta	UTR
SISRS_contig-1897000014.fasta	UTR
SISRS_contig-13183000014.fasta	UTR
SISRS_contig-13744000008.fasta	UTR
SISRS_contig-543000006.fasta	UTR
SISRS_contig-748000017.fasta	UTR
SISRS_contig-52000013.fasta	UTR
SISRS_contig-12611000001.fasta	UTR
SISRS_contig-4330000019.fasta	UTR
SISRS_contig-1553000018.fasta	UTR
SISRS_contig-4916000006.fasta	UTR
SISRS_contig-4879000012.fasta	UTR
SISRS_contig-13136000019.fasta	UTR
SISRS_contig-1229000014.fasta	UTR
SISRS_contig-8723000013.fasta	UTR
SISRS_contig-8389000008.fasta	UTR
SISRS_contig-8829000000.fasta	UTR
SISRS_contig-15830000003.fasta	UTR
SISRS_contig-9325000018.fasta	UTR
SISRS_contig-1863000014.fasta	UTR
SISRS_contig-1111000016.fasta	UTR
SISRS_contig-16083000015.fasta	UTR
SISRS_contig-14200000009.fasta	UTR
SISRS_contig-8712000005.fasta	UTR
SISRS_contig-13523000010.fasta	UTR
SISRS_contig-11294000008.fasta	UTR
SISRS_contig-8763000008.fasta	UTR
SISRS_contig-16739000003.fasta	UTR
SISRS_contig-4196000005.fasta	UTR
SISRS_contig-13014000002.fasta	UTR
SISRS_contig-11160000008.fasta	UTR
SISRS_contig-11633000004.fasta	UTR
SISRS_contig-198000006.fasta	UTR
SISRS_contig-10455000014.fasta	UTR
SISRS_contig-627000006.fasta	UTR
SISRS_contig-1674000002.fasta	UTR
SISRS_contig-42000007.fasta	UTR
SISRS_contig-14196000008.fasta	UTR
SISRS_contig-423000014.fasta	UTR
SISRS_contig-795000016.fasta	UTR
SISRS_contig-9580000009.fasta	UTR
SISRS_contig-11109000014.fasta	UTR
SISRS_contig-14745000002.fasta	UTR
SISRS_contig-6321000007.fasta	UTR
SISRS_contig-10173000016.fasta	UTR
SISRS_contig-1458000011.fasta	UTR
SISRS_contig-11986000019.fasta	UTR
SISRS_contig-1051000012.fasta	UTR
SISRS_contig-10026000011.fasta	UTR
SISRS_contig-7697000016.fasta	UTR
SISRS_contig-11220000019.fasta	UTR
SISRS_contig-3523000008.fasta	UTR
SISRS_contig-2967000014.fasta	UTR
SISRS_contig-12402000000.fasta	UTR
SISRS_contig-5838000001.fasta	UTR
SISRS_contig-15057000012.fasta	UTR
SISRS_contig-3106000007.fasta	UTR
SISRS_contig-1297000004.fasta	UTR
SISRS_contig-7817000010.fasta	UTR
SISRS_contig-11470000019.fasta	UTR
SISRS_contig-3069000007.fasta	UTR
SISRS_contig-3612000011.fasta	UTR
SISRS_contig-7342000009.fasta	UTR
SISRS_contig-13593000005.fasta	UTR
SISRS_contig-17614000007.fasta	UTR
