Alignment_name	Locus_type
SISRS_contig-3785000009.fasta	other
SISRS_contig-6884000017.fasta	other
SISRS_contig-828000019.fasta	other
SISRS_contig-11329000006.fasta	other
SISRS_contig-12437000016.fasta	other
SISRS_contig-5879000019.fasta	other
SISRS_contig-3134000007.fasta	other
SISRS_contig-8605000005.fasta	other
SISRS_contig-2852000015.fasta	other
SISRS_contig-1081000001.fasta	other
SISRS_contig-15035000019.fasta	other
SISRS_contig-7727000001.fasta	other
SISRS_contig-1425000009.fasta	other
SISRS_contig-6047000013.fasta	other
SISRS_contig-5903000002.fasta	other
SISRS_contig-1278000015.fasta	other
SISRS_contig-13793000001.fasta	other
SISRS_contig-8534000007.fasta	other
SISRS_contig-8612000008.fasta	other
SISRS_contig-11787000000.fasta	other
SISRS_contig-4158000004.fasta	other
SISRS_contig-9603000015.fasta	other
SISRS_contig-10730000013.fasta	other
SISRS_contig-2828000005.fasta	other
SISRS_contig-10567000000.fasta	other
SISRS_contig-11855000009.fasta	other
SISRS_contig-1187000011.fasta	other
SISRS_contig-5755000015.fasta	other
SISRS_contig-541000006.fasta	other
SISRS_contig-2019000001.fasta	other
SISRS_contig-12521000011.fasta	other
SISRS_contig-2769000002.fasta	other
SISRS_contig-15786000007.fasta	other
SISRS_contig-11041000002.fasta	other
SISRS_contig-8187000012.fasta	other
SISRS_contig-13762000017.fasta	other
SISRS_contig-2358000001.fasta	other
SISRS_contig-7739000003.fasta	other
SISRS_contig-8333000017.fasta	other
SISRS_contig-12544000005.fasta	other
SISRS_contig-3531000017.fasta	other
SISRS_contig-3087000006.fasta	other
SISRS_contig-1419000006.fasta	other
SISRS_contig-10633000015.fasta	other
SISRS_contig-6214000016.fasta	other
SISRS_contig-14562000019.fasta	other
SISRS_contig-744000005.fasta	other
SISRS_contig-13402000005.fasta	other
SISRS_contig-2364000019.fasta	other
SISRS_contig-2354000002.fasta	other
SISRS_contig-4252000016.fasta	other
SISRS_contig-8493000011.fasta	other
SISRS_contig-2459000009.fasta	other
SISRS_contig-1279000000.fasta	other
SISRS_contig-13061000007.fasta	other
SISRS_contig-5865000010.fasta	other
SISRS_contig-13888000004.fasta	other
SISRS_contig-12214000004.fasta	other
SISRS_contig-1908000013.fasta	other
SISRS_contig-16848000007.fasta	other
SISRS_contig-414000006.fasta	other
SISRS_contig-3683000009.fasta	other
SISRS_contig-5539000005.fasta	other
SISRS_contig-1016000005.fasta	other
SISRS_contig-2852000011.fasta	other
SISRS_contig-851000018.fasta	other
SISRS_contig-1497000004.fasta	other
SISRS_contig-5174000006.fasta	other
SISRS_contig-11509000004.fasta	other
SISRS_contig-13320000005.fasta	other
SISRS_contig-17483000000.fasta	other
SISRS_contig-2784000013.fasta	other
SISRS_contig-13423000000.fasta	other
SISRS_contig-9712000010.fasta	other
SISRS_contig-9711000007.fasta	other
SISRS_contig-2168000005.fasta	other
SISRS_contig-588000010.fasta	other
SISRS_contig-14769000003.fasta	other
SISRS_contig-218000012.fasta	other
SISRS_contig-86000004.fasta	other
SISRS_contig-10455000006.fasta	other
SISRS_contig-2457000014.fasta	other
SISRS_contig-11968000015.fasta	other
SISRS_contig-411000018.fasta	other
SISRS_contig-5285000006.fasta	other
SISRS_contig-3123000016.fasta	other
SISRS_contig-11718000016.fasta	other
SISRS_contig-10203000018.fasta	other
SISRS_contig-15712000005.fasta	other
SISRS_contig-3385000019.fasta	other
SISRS_contig-4452000004.fasta	other
