1663	SISRS_contig-27000002
1483	SISRS_contig-17953000004
1443	SISRS_contig-1000015
1400	SISRS_contig-965000018
1363	SISRS_contig-18001000019
1361	SISRS_contig-17919000005
1309	SISRS_contig-30000015
1271	SISRS_contig-25000001
1047	SISRS_contig-4437000005
847	SISRS_contig-18074000010
823	SISRS_contig-261000000
750	SISRS_contig-30000007
741	SISRS_contig-11
710	SISRS_contig-18081000000
674	SISRS_contig-70000015
667	SISRS_contig-717000015
646	SISRS_contig-18123000013
645	SISRS_contig-1782000003
635	SISRS_contig-55000009
625	SISRS_contig-408000013
621	SISRS_contig-32000000
607	SISRS_contig-63000009
588	SISRS_contig-2046000012
573	SISRS_contig-7601000017
540	SISRS_contig-211000003
535	SISRS_contig-17000014
527	SISRS_contig-13900000009
515	SISRS_contig-374000010
500	SISRS_contig-353000016
497	SISRS_contig-1174000000
494	SISRS_contig-511000004
486	SISRS_contig-12680000010
481	SISRS_contig-39000004
471	SISRS_contig-5691000008
471	SISRS_contig-45000008
452	SISRS_contig-1344000015
450	SISRS_contig-318000013
449	SISRS_contig-18122000006
448	SISRS_contig-29000008
447	SISRS_contig-1000007
423	SISRS_contig-27000001
422	SISRS_contig-756000016
420	SISRS_contig-24000019
419	SISRS_contig-63000006
417	SISRS_contig-785000007
416	SISRS_contig-63000014
414	SISRS_contig-4
414	SISRS_contig-2000011
410	SISRS_contig-195000014
403	SISRS_contig-62000007
401	SISRS_contig-57000002
398	SISRS_contig-15726000004
395	SISRS_contig-6000016
393	SISRS_contig-4435000018
393	SISRS_contig-127000012
380	SISRS_contig-68000017
378	SISRS_contig-420000008
375	SISRS_contig-46000004
374	SISRS_contig-62000019
372	SISRS_contig-495000018
365	SISRS_contig-993000018
358	SISRS_contig-1185000014
354	SISRS_contig-616000017
348	SISRS_contig-3903000016
347	SISRS_contig-160000009
344	SISRS_contig-20000015
331	SISRS_contig-2144000011
330	SISRS_contig-13498000015
329	SISRS_contig-28000013
328	SISRS_contig-5228000005
322	SISRS_contig-3000004
315	SISRS_contig-59000018
313	SISRS_contig-1509000009
312	SISRS_contig-2480000014
308	SISRS_contig-4727000001
307	SISRS_contig-41000014
307	SISRS_contig-27000012
304	SISRS_contig-1000001
303	SISRS_contig-31000000
303	SISRS_contig-19000002
302	SISRS_contig-147000012
298	SISRS_contig-211000007
297	SISRS_contig-9453000000
297	SISRS_contig-19000001
296	SISRS_contig-572000012
294	SISRS_contig-8000016
292	SISRS_contig-40000010
289	SISRS_contig-14000007
288	SISRS_contig-973000018
287	SISRS_contig-880000009
287	SISRS_contig-17000008
283	SISRS_contig-1537000001
279	SISRS_contig-1948000013
278	SISRS_contig-616000000
278	SISRS_contig-41000012
278	SISRS_contig-131000018
274	SISRS_contig-203000007
273	SISRS_contig-276000002
272	SISRS_contig-97000019
272	SISRS_contig-8000004
272	SISRS_contig-26000000
272	SISRS_contig-1149000014
271	SISRS_contig-10000010
268	SISRS_contig-651000005
265	SISRS_contig-4269000003
265	SISRS_contig-1122000004
263	SISRS_contig-130000010
261	SISRS_contig-52000007
260	SISRS_contig-383000016
257	SISRS_contig-123000008
256	SISRS_contig-854000007
255	SISRS_contig-53000008
255	SISRS_contig-139000012
254	SISRS_contig-12000001
253	SISRS_contig-308000013
253	SISRS_contig-1130000001
252	SISRS_contig-44000000
252	SISRS_contig-2308000003
251	SISRS_contig-18
251	SISRS_contig-134000017
248	SISRS_contig-57000013
247	SISRS_contig-2770000008
247	SISRS_contig-1842000018
245	SISRS_contig-8000006
245	SISRS_contig-261000017
243	SISRS_contig-78000014
242	SISRS_contig-2932000005
242	SISRS_contig-2441000009
242	SISRS_contig-1012000019
240	SISRS_contig-2848000012
240	SISRS_contig-129000002
239	SISRS_contig-1426000003
238	SISRS_contig-495000016
237	SISRS_contig-51000008
237	SISRS_contig-1312000004
237	SISRS_contig-12000000
235	SISRS_contig-12000019
234	SISRS_contig-239000012
233	SISRS_contig-421000008
233	SISRS_contig-185000010
233	SISRS_contig-118000008
231	SISRS_contig-167000011
231	SISRS_contig-10000019
230	SISRS_contig-5000007
228	SISRS_contig-99000017
228	SISRS_contig-122000011
228	SISRS_contig-121000003
227	SISRS_contig-785000014
227	SISRS_contig-169000013
227	SISRS_contig-1011000001
226	SISRS_contig-722000004
226	SISRS_contig-2160000013
226	SISRS_contig-126000006
224	SISRS_contig-95000017
224	SISRS_contig-93000011
224	SISRS_contig-366000007
223	SISRS_contig-385000016
221	SISRS_contig-349000016
221	SISRS_contig-13387000009
220	SISRS_contig-372000001
220	SISRS_contig-150000000
218	SISRS_contig-187000011
217	SISRS_contig-1027000013
216	SISRS_contig-244000012
216	SISRS_contig-200000001
215	SISRS_contig-198000019
214	SISRS_contig-798000005
214	SISRS_contig-5405000017
213	SISRS_contig-659000004
